frug;plant;n_visits;obs_time;visit_rate;n_fruits;fruit_visit;QTY;frug_family;body_mass;gape_size;plant_family;FRDIAM;FRLENG;FRFM;PFM;SFM;PDM;SDM;SEEDS;WATER;LIP;PRO;SSUGAR;INSUGAR;NSC;TOTALC;TOTALSUG
Thraupis palmarum;Byrsonima sericea;4;254;0.016;NA;NA;NA;Thraupidae;39;8.3;Malpighiaceae;7.42;7.7;0.54;NA;NA;NA;NA;1;0.77;0.219;0.048;0.048;NA;NA;NA;0.048
Thraupis sayaca;Byrsonima sericea;1;254;0.004;NA;NA;NA;Thraupidae;32.5;8.9;Malpighiaceae;7.42;7.7;0.54;NA;NA;NA;NA;1;0.77;0.219;0.048;0.048;NA;NA;NA;0.048
Baillonius bailloni;Cabralea canjerana;12;70.2;0.171;NA;NA;NA;Ramphastidae;146;23.6;Meliaceae;9.73;17.31;0.935;0.395;0.139;0.516;0.404;3.1;0.41;0.711;0.088;0.012;NA;NA;0.165;0.012
Ramphastos dicolorus;Cabralea canjerana;7;70.2;0.1;NA;20;1.994;Ramphastidae;331;30.7;Meliaceae;9.73;17.31;0.935;0.395;0.139;0.516;0.404;3.1;0.41;0.711;0.088;0.012;NA;NA;0.165;0.012
Ramphastos vitellinus;Cabralea canjerana;5;32;0.156;90;20;3.125;Ramphastidae;343.5;30.1;Meliaceae;9.73;17.31;0.935;0.395;0.139;0.516;0.404;3.1;0.41;0.711;0.088;0.012;NA;NA;0.165;0.012
Selenidera maculirostris;Cabralea canjerana;1;70.2;0.014;NA;20;0.285;Ramphastidae;164;25;Meliaceae;9.73;17.31;0.935;0.395;0.139;0.516;0.404;3.1;0.41;0.711;0.088;0.012;NA;NA;0.165;0.012
Tityra cayana;Cabralea canjerana;129;70.2;1.838;NA;4.8;8.821;Cotingidae;68.1;16.6;Meliaceae;9.73;17.31;0.935;0.395;0.139;0.516;0.404;3.1;0.41;0.711;0.088;0.012;NA;NA;0.165;0.012
Trogon surrucura;Cabralea canjerana;3;32;0.094;6;2;0.188;Trogonidae;73.3;17.5;Meliaceae;9.73;17.31;0.935;0.395;0.139;0.516;0.404;3.1;0.41;0.711;0.088;0.012;NA;NA;0.165;0.012
Trogon surrucura;Cabralea canjerana;3;70.2;0.043;NA;2;0.085;Trogonidae;73.3;17.5;Meliaceae;9.73;17.31;0.935;0.395;0.139;0.516;0.404;3.1;0.41;0.711;0.088;0.012;NA;NA;0.165;0.012
Turdus albicollis;Cabralea canjerana;30;70.2;0.427;NA;1.7;0.726;Turdidae;54;11.1;Meliaceae;9.73;17.31;0.935;0.395;0.139;0.516;0.404;3.1;0.41;0.711;0.088;0.012;NA;NA;0.165;0.012
Turdus albicollis;Cabralea canjerana;6;32;0.188;NA;1.7;0.319;Turdidae;54;11.1;Meliaceae;9.73;17.31;0.935;0.395;0.139;0.516;0.404;3.1;0.41;0.711;0.088;0.012;NA;NA;0.165;0.012
Turdus rufiventris;Cabralea canjerana;11;32;0.344;22;2;0.688;Turdidae;69.5;13.3;Meliaceae;9.73;17.31;0.935;0.395;0.139;0.516;0.404;3.1;0.41;0.711;0.088;0.012;NA;NA;0.165;0.012
Turdus rufiventris;Cabralea canjerana;13;70.2;0.185;NA;2;0.37;Turdidae;69.5;13.3;Meliaceae;9.73;17.31;0.935;0.395;0.139;0.516;0.404;3.1;0.41;0.711;0.088;0.012;NA;NA;0.165;0.012
Tangara cayana;Casearia sylvestris;5;22;0.227;17;3.4;0.773;Thraupidae;18;7.4;Salicaceae;5;4.5;NA;NA;0.003;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA
Tangara cayana;Casearia sylvestris;2;102.3;0.02;NA;3.4;0.066;Thraupidae;18;7.4;Salicaceae;5;4.5;NA;NA;0.003;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA
Thraupis sayaca;Casearia sylvestris;2;0.5;4;NA;9.62;38.492;Thraupidae;32.5;8.9;Salicaceae;5;4.5;NA;NA;0.003;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA
Thraupis sayaca;Casearia sylvestris;51;102.3;0.499;1325;25.98;12.952;Thraupidae;32.5;8.9;Salicaceae;5;4.5;NA;NA;0.003;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA
