frug;plant;n_visits;obs_time;visit_rate;n_fruits;fruit_visit;QTY;frug_family;body_mass;gape_size;plant_family;FRDIAM;FRLENG;FRFM;PFM;SFM;PDM;SDM;SEEDS;WATER;LIP;PRO;SSUGAR;INSUGAR;NSC;TOTALC;TOTALSUG
Aburria jacutinga;Cryptocarya moschata;2;NA;NA;NA;NA;NA;Cracidae;1250;19.1;Lauraceae;17.86;19.95;4.223;2.12;1.734;1.843;1.617;1;0.84;0.137;0.096;0.128;0.134;NA;0.841;0.262
Tangara cayana;Cupania emarginata;4;254;0.016;NA;NA;NA;Thraupidae;18;7.4;Sapindaceae;7.15;10.6;0.44;NA;0.32;NA;NA;1.2;NA;NA;NA;NA;NA;NA;NA;NA
Thraupis palmarum;Cupania emarginata;12;254;0.047;NA;NA;NA;Thraupidae;39;8.3;Sapindaceae;7.15;10.6;0.44;NA;0.32;NA;NA;1.2;NA;NA;NA;NA;NA;NA;NA;NA
Thraupis sayaca;Cupania emarginata;3;254;0.012;NA;NA;NA;Thraupidae;32.5;8.9;Sapindaceae;7.15;10.6;0.44;NA;0.32;NA;NA;1.2;NA;NA;NA;NA;NA;NA;NA;NA
Aburria jacutinga;Cupania oblongifolia;1;NA;NA;NA;NA;NA;Cracidae;1250;19.1;Sapindaceae;15.48;20.46;1.4;NA;1.1;NA;NA;3;0.56;0.626;0.11;NA;NA;NA;0.246;NA
Euphonia chlorotica;Cupania oblongifolia;1;15;0.017;NA;1;0.017;Fringillidae;11;6.1;Sapindaceae;15.48;20.46;1.4;NA;1.1;NA;NA;3;0.56;0.626;0.11;NA;NA;NA;0.246;NA
Thraupis palmarum;Cupania oblongifolia;1;21;0.048;NA;1.3;0.062;Thraupidae;39;8.3;Sapindaceae;15.48;20.46;1.4;NA;1.1;NA;NA;3;0.56;0.626;0.11;NA;NA;NA;0.246;NA
Thraupis sayaca;Cupania oblongifolia;1;21;0.048;NA;1.3;0.062;Thraupidae;32.5;8.9;Sapindaceae;15.48;20.46;1.4;NA;1.1;NA;NA;3;0.56;0.626;0.11;NA;NA;NA;0.246;NA
Turdus albicollis;Cupania oblongifolia;8;21;0.381;NA;1.5;0.571;Turdidae;54;11.1;Sapindaceae;15.48;20.46;1.4;NA;1.1;NA;NA;3;0.56;0.626;0.11;NA;NA;NA;0.246;NA
Turdus rufiventris;Cupania oblongifolia;117;21;5.571;NA;1.5;8.357;Turdidae;69.5;13.3;Sapindaceae;15.48;20.46;1.4;NA;1.1;NA;NA;3;0.56;0.626;0.11;NA;NA;NA;0.246;NA
Turdus rufiventris;Cupania oblongifolia;4;15;1.067;NA;1.5;1.6;Turdidae;69.5;13.3;Sapindaceae;15.48;20.46;1.4;NA;1.1;NA;NA;3;0.56;0.626;0.11;NA;NA;NA;0.246;NA
Thraupis palmarum;Curatella americana;3;254;0.012;NA;NA;NA;Thraupidae;39;8.3;Dilleniaceae;5.5;7.8;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
Thraupis sayaca;Curatella americana;2;254;0.008;NA;NA;NA;Thraupidae;32.5;8.9;Dilleniaceae;5.5;7.8;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
Turdus rufiventris;Endlicheria paniculata;1;1;1;NA;NA;NA;Turdidae;69.5;13.3;Lauraceae;14;20;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
Ramphastos dicolorus;Erythroxylum ambiguum;1;148.5;0.007;NA;8;0.054;Ramphastidae;331;30.7;Erythroxylaceae;5.49;7.51;0.168;NA;0.051;0.136;0.033;1;NA;0.88;0.008;NA;NA;NA;0.04;NA
Tangara cyanocephala;Erythroxylum ambiguum;7;22.2;0.315;NA;NA;NA;Thraupidae;18;5.2;Erythroxylaceae;5.49;7.51;0.168;NA;0.051;0.136;0.033;1;NA;0.88;0.008;NA;NA;NA;0.04;NA
Thraupis sayaca;Erythroxylum ambiguum;3;22.2;0.135;NA;7.67;1.036;Thraupidae;32.5;8.9;Erythroxylaceae;5.49;7.51;0.168;NA;0.051;0.136;0.033;1;NA;0.88;0.008;NA;NA;NA;0.04;NA
Turdus albicollis;Erythroxylum ambiguum;10;22.2;0.45;NA;6.41;2.888;Turdidae;54;11.1;Erythroxylaceae;5.49;7.51;0.168;NA;0.051;0.136;0.033;1;NA;0.88;0.008;NA;NA;NA;0.04;NA
Turdus albicollis;Erythroxylum ambiguum;3;148.5;0.02;NA;3;0.061;Turdidae;54;11.1;Erythroxylaceae;5.49;7.51;0.168;NA;0.051;0.136;0.033;1;NA;0.88;0.008;NA;NA;NA;0.04;NA
Turdus rufiventris;Erythroxylum ambiguum;5;148.5;0.034;NA;5;0.168;Turdidae;69.5;13.3;Erythroxylaceae;5.49;7.51;0.168;NA;0.051;0.136;0.033;1;NA;0.88;0.008;NA;NA;NA;0.04;NA
Tangara cayana;Erythroxylum deciduum;10;43.7;0.229;NA;NA;NA;Thraupidae;18;7.4;Erythroxylaceae;4;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Thraupis sayaca;Erythroxylum deciduum;60;43.7;1.373;460;7.67;10.526;Thraupidae;32.5;8.9;Erythroxylaceae;4;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turdus rufiventris;Erythroxylum deciduum;26;43.7;0.595;292;11.23;6.682;Turdidae;69.5;13.3;Erythroxylaceae;4;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Thraupis sayaca;Eugenia cerasiflora;2;1.3;1.538;NA;NA ;NA;Thraupidae;32.5;8.9;Myrtaceae;11;16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turdus rufiventris;Eugenia cerasiflora;1;1.3;0.769;NA;NA;NA;Turdidae;69.5;13.3;Myrtaceae;11;16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Procnias nudicollis;Eugenia umbelliflora;NA;NA;0.04;NA;6.5;0.26;Cotingidae;200;23.6;Myrtaceae;12.12;14.95;1.38;0.78;0.6;0.26;NA;1.2;0.53;0.039;0.036;0.076;NA;NA;NA;0.076
Thraupis palmarum;Eugenia umbelliflora;NA;NA;0.05;NA;3.3;0.165;Thraupidae;39;8.3;Myrtaceae;12.12;14.95;1.38;0.78;0.6;0.26;NA;1.2;0.53;0.039;0.036;0.076;NA;NA;NA;0.076
Thraupis sayaca;Eugenia umbelliflora;NA;NA;0.65;NA;4;2.6;Thraupidae;32.5;8.9;Myrtaceae;12.12;14.95;1.38;0.78;0.6;0.26;NA;1.2;0.53;0.039;0.036;0.076;NA;NA;NA;0.076
Turdus albicollis;Eugenia umbelliflora;NA;NA;0.13;NA;4;0.52;Turdidae;54;11.1;Myrtaceae;12.12;14.95;1.38;0.78;0.6;0.26;NA;1.2;0.53;0.039;0.036;0.076;NA;NA;NA;0.076
Turdus rufiventris;Eugenia umbelliflora;NA;NA;0.27;NA;3.1;0.837;Turdidae;69.5;13.3;Myrtaceae;12.12;14.95;1.38;0.78;0.6;0.26;NA;1.2;0.53;0.039;0.036;0.076;NA;NA;NA;0.076
Ramphastos dicolorus;Eugenia uniflora;1;60;0.017;2;2;0.033;Ramphastidae;331;30.7;Myrtaceae;19.5;25;0.5;NA;0.2;NA;NA;NA;0.86;0.028;0.056;NA;NA;0.88;NA;NA
Thraupis sayaca;Eugenia uniflora;213;60;3.55;390;1.83;6.5;Thraupidae;32.5;8.9;Myrtaceae;19.5;25;0.5;NA;0.2;NA;NA;NA;0.86;0.028;0.056;NA;NA;0.88;NA;NA
Thraupis sayaca;Eugenia uniflora;115;116;0.991;NA;1.53;1.517;Thraupidae;32.5;8.9;Myrtaceae;19.5;25;0.5;NA;0.2;NA;NA;NA;0.86;0.028;0.056;NA;NA;0.88;NA;NA
Thraupis sayaca;Eugenia uniflora;6;10;0.6;9;1.5;0.9;Thraupidae;32.5;8.9;Myrtaceae;19.5;25;0.5;NA;0.2;NA;NA;NA;0.86;0.028;0.056;NA;NA;0.88;NA;NA
Turdus rufiventris;Eugenia uniflora;6;60;0.1;6;1;0.1;Turdidae;69.5;13.3;Myrtaceae;19.5;25;0.5;NA;0.2;NA;NA;NA;0.86;0.028;0.056;NA;NA;0.88;NA;NA
Aburria jacutinga;Euterpe edulis;7;NA;NA;NA;41.98;NA;Cracidae;1250;19.1;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Aburria jacutinga;Euterpe edulis;3;NA;NA;NA;41.98;NA;Cracidae;1250;19.1;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Aburria jacutinga;Euterpe edulis;3;330;0.018;NA;85;1.545;Cracidae;1250;19.1;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Aburria jacutinga;Euterpe edulis;NA;NA;0.018;NA;30.09;0.542;Cracidae;1250;19.1;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Aburria jacutinga;Euterpe edulis;7;276;0.023;76;10.86;0.244;Cracidae;1250;19.1;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Aburria jacutinga;Euterpe edulis;3;750;0.004;NA;41.98;0.168;Cracidae;1250;19.1;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Baillonius bailloni;Euterpe edulis;6;330;0.055;NA;9;0.491;Ramphastidae;146;23.6;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Baillonius bailloni;Euterpe edulis;NA;NA;0.045;NA;3.6;0.162;Ramphastidae;146;23.6;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Baillonius bailloni;Euterpe edulis;6;750;0.008;NA;6.3;0.05;Ramphastidae;146;23.6;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Penelope obscura;Euterpe edulis;2;NA;NA;NA;8.97;NA;Cracidae;1770;22.3;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Penelope obscura;Euterpe edulis;3;330;0.018;NA;8;0.145;Cracidae;1770;22.3;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Penelope obscura;Euterpe edulis;NA;NA;0.012;NA;8.91;0.107;Cracidae;1770;22.3;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Penelope obscura;Euterpe edulis;2;250;0.008;NA;8.97;0.072;Cracidae;1770;22.3;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Penelope obscura;Euterpe edulis;3;750;0.004;NA;8.97;0.036;Cracidae;1770;22.3;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Penelope obscura;Euterpe edulis;1;324;0.003;10;10;0.031;Cracidae;1770;22.3;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Procnias nudicollis;Euterpe edulis;NA;NA;0.042;NA;5.54;0.233;Cotingidae;200;23.6;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Procnias nudicollis;Euterpe edulis;8;190;0.042;30;3.75;0.158;Cotingidae;200;23.6;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Procnias nudicollis;Euterpe edulis;5;276;0.016;49;8.8;0.142;Cotingidae;200;23.6;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Procnias nudicollis;Euterpe edulis;6;324;0.019;28;4.67;0.086;Cotingidae;200;23.6;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Procnias nudicollis;Euterpe edulis;9;324;0.028;21;2.33;0.065;Cotingidae;200;23.6;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Procnias nudicollis;Euterpe edulis;3;190;0.016;7;2.33;0.037;Cotingidae;200;23.6;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Procnias nudicollis;Euterpe edulis;3;330;0.009;NA;2;0.018;Cotingidae;200;23.6;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Procnias nudicollis;Euterpe edulis;3;750;0.004;NA;4.2;0.017;Cotingidae;200;23.6;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Ramphastos dicolorus;Euterpe edulis;2;330;0.018;NA;4.5;0.082;Ramphastidae;331;30.7;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Ramphastos dicolorus;Euterpe edulis;1;330;0.006;NA;12;0.073;Ramphastidae;331;30.7;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Ramphastos dicolorus;Euterpe edulis;NA;NA;0.014;NA;4.44;0.062;Ramphastidae;331;30.7;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Ramphastos dicolorus;Euterpe edulis;3;276;0.01;14;4.67;0.045;Ramphastidae;331;30.7;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Ramphastos dicolorus;Euterpe edulis;4;324;0.012;13;3.25;0.04;Ramphastidae;331;30.7;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Ramphastos dicolorus;Euterpe edulis;1;324;0.003;5;5;0.015;Ramphastidae;331;30.7;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Ramphastos dicolorus;Euterpe edulis;2;750;0.003;NA;5.27;0.014;Ramphastidae;331;30.7;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Ramphastos dicolorus;Euterpe edulis;1;324;0.003;3;3;0.009;Ramphastidae;331;30.7;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Ramphastos vitellinus;Euterpe edulis;NA;NA;0.034;NA;6.95;0.236;Ramphastidae;343.5;30.1;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Ramphastos vitellinus;Euterpe edulis;10;324;0.031;55;5.5;0.17;Ramphastidae;343.5;30.1;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Ramphastos vitellinus;Euterpe edulis;7;324;0.022;49;7;0.151;Ramphastidae;343.5;30.1;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Ramphastos vitellinus;Euterpe edulis;6;190;0.032;21;3.5;0.111;Ramphastidae;343.5;30.1;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Ramphastos vitellinus;Euterpe edulis;3;190;0.016;16;5.33;0.084;Ramphastidae;343.5;30.1;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Ramphastos vitellinus;Euterpe edulis;1;330;0.006;NA;5;0.03;Ramphastidae;343.5;30.1;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Ramphastos vitellinus;Euterpe edulis;3;324;0.009;9;3;0.028;Ramphastidae;343.5;30.1;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Ramphastos vitellinus;Euterpe edulis;1;276;0.003;8;8;0.026;Ramphastidae;343.5;30.1;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Selenidera maculirostris;Euterpe edulis;3;33;0.182;NA;10;1.818;Ramphastidae;164;25;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Selenidera maculirostris;Euterpe edulis;26;276;0.084;166;6.31;0.527;Ramphastidae;164;25;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Selenidera maculirostris;Euterpe edulis;NA;NA;0.051;NA;6.28;0.32;Ramphastidae;164;25;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Selenidera maculirostris;Euterpe edulis;6;330;0.027;NA;9.8;0.267;Ramphastidae;164;25;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Selenidera maculirostris;Euterpe edulis;2;190;0.011;27;13.5;0.142;Ramphastidae;164;25;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Selenidera maculirostris;Euterpe edulis;6;750;0.008;NA;7.43;0.059;Ramphastidae;164;25;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Selenidera maculirostris;Euterpe edulis;4;324;0.012;18;4.5;0.056;Ramphastidae;164;25;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Selenidera maculirostris;Euterpe edulis;5;324;0.015;8;1.6;0.025;Ramphastidae;164;25;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Tangara cyanocephala;Euterpe edulis;2;324;0.006;NA;1.14;0.007;Thraupidae;18;5.2;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Tangara seledon;Euterpe edulis;5;276;0.016;6;1.2;0.019;Thraupidae;18.7;6.1;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Tangara seledon;Euterpe edulis;NA;NA;0.016;NA;1.08;0.017;Thraupidae;18.7;6.1;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Tangara seledon;Euterpe edulis;2;324;0.006;NA;1.14;0.007;Thraupidae;18.7;6.1;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Tangara seledon;Euterpe edulis;2;324;0.006;NA;1.14;0.007;Thraupidae;18.7;6.1;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Tityra cayana;Euterpe edulis;2;324;0.006;3;1.5;0.009;Cotingidae;68.1;16.6;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Tityra cayana;Euterpe edulis;NA;NA;0.004;NA;2.25;0.009;Cotingidae;68.1;16.6;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Tityra cayana;Euterpe edulis;1;330;0.003;NA;2;0.006;Cotingidae;68.1;16.6;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Tityra cayana;Euterpe edulis;1;750;0.001;NA;1.92;0.003;Cotingidae;68.1;16.6;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Trogon viridis;Euterpe edulis;2;33;0.061;NA;38.5;2.333;Trogonidae;89.7;20.5;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Trogon viridis;Euterpe edulis;73;276;0.234;75;1.03;0.241;Trogonidae;89.7;20.5;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Trogon viridis;Euterpe edulis;NA;NA;0.122;NA;1.09;0.133;Trogonidae;89.7;20.5;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Trogon viridis;Euterpe edulis;6;330;0.027;NA;3.6;0.098;Trogonidae;89.7;20.5;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Trogon viridis;Euterpe edulis;6;750;0.008;NA;5.63;0.045;Trogonidae;89.7;20.5;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Trogon viridis;Euterpe edulis;5;324;0.015;11;2.2;0.034;Trogonidae;89.7;20.5;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Trogon viridis;Euterpe edulis;6;324;0.019;4;1.25;0.023;Trogonidae;89.7;20.5;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Trogon viridis;Euterpe edulis;2;190;0.011;2;1;0.011;Trogonidae;89.7;20.5;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Trogon viridis;Euterpe edulis;NA;NA;0.01;NA;1;0.01;Trogonidae;89.7;20.5;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Trogon viridis;Euterpe edulis;2;324;0.006;2;1;0.006;Trogonidae;89.7;20.5;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Turdus albicollis;Euterpe edulis;52;276;0.167;110;2.12;0.353;Turdidae;54;11.1;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Turdus albicollis;Euterpe edulis;NA;NA;0.157;NA;1.99;0.312;Turdidae;54;11.1;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Turdus albicollis;Euterpe edulis;31;324;0.096;33;1.06;0.102;Turdidae;54;11.1;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Turdus albicollis;Euterpe edulis;8;190;0.042;16;2;0.084;Turdidae;54;11.1;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Turdus albicollis;Euterpe edulis;8;190;0.042;14;1.75;0.074;Turdidae;54;11.1;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Turdus albicollis;Euterpe edulis;NA;NA;0.051;NA;1.27;0.065;Turdidae;54;11.1;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Turdus albicollis;Euterpe edulis;7;324;0.022;15;2.14;0.046;Turdidae;54;11.1;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Turdus albicollis;Euterpe edulis;1;190;0.005;4;4;0.021;Turdidae;54;11.1;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Turdus albicollis;Euterpe edulis;2;324;0.006;6;3;0.019;Turdidae;54;11.1;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Turdus albicollis;Euterpe edulis;4;330;0.012;NA;1.5;0.018;Turdidae;54;11.1;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Turdus albicollis;Euterpe edulis;2;250;0.008;NA;2.08;0.017;Turdidae;54;11.1;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Turdus albicollis;Euterpe edulis;4;750;0.005;NA;2.08;0.011;Turdidae;54;11.1;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Turdus rufiventris;Euterpe edulis;5;33;0.152;NA;1.6;0.242;Turdidae;69.5;13.3;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Turdus rufiventris;Euterpe edulis;NA;NA;0.12;NA;1.29;0.155;Turdidae;69.5;13.3;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Turdus rufiventris;Euterpe edulis;NA;NA;0.02;NA;1.75;0.035;Turdidae;69.5;13.3;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
Turdus rufiventris;Euterpe edulis;3;276;0.01;6;2;0.019;Turdidae;69.5;13.3;Arecaceae;13.29;12.98;1.421;0.46;1.065;0.323;0.963;1;0.68;0.136;0.051;0.004;0.182;NA;0.699;0.186
