species;plant;plant_family;QTY;energy_fruit;QTY_SD;QTY_SE;TE;TE_common
Ramphastos dicolorus;Euterpe edulis;Arecaceae;0.0425;5.178982;0.028218535;0.009976759;0.220106735;0.825184465
Tangara seledon;Euterpe edulis;Arecaceae;0.0125;5.178982;0.006403124;0.003201562;0.064737275;0.825184465
Tangara cyanocephala;Euterpe edulis;Arecaceae;0.007;5.178982;NA;NA;0.036252874;0.825184465
Tityra cayana;Euterpe edulis;Arecaceae;0.00675;5.178982;0.002872281;0.001436141;0.034958129;0.825184465
Thraupis sayaca;Eugenia uniflora;Myrtaceae;2.972333333;6.4898256;3.070585666;1.772803461;19.28992496;11.74658434
Turdus rufiventris;Eugenia uniflora;Myrtaceae;0.1;6.4898256;NA;NA;0.64898256;11.74658434
Ramphastos dicolorus;Eugenia uniflora;Myrtaceae;0.033;6.4898256;NA;NA;0.214164245;11.74658434
Thraupis sayaca;Eugenia umbelliflora;Myrtaceae;2.6;0.785252;NA;NA;2.0416552;0.688194853
Turdus rufiventris;Eugenia umbelliflora;Myrtaceae;0.837;0.785252;NA;NA;0.657255924;0.688194853
Turdus albicollis;Eugenia umbelliflora;Myrtaceae;0.52;0.785252;NA;NA;0.40833104;0.688194853
Procnias nudicollis;Eugenia umbelliflora;Myrtaceae;0.26;0.785252;NA;NA;0.20416552;0.688194853
Thraupis palmarum;Eugenia umbelliflora;Myrtaceae;0.165;0.785252;NA;NA;0.12956658;0.688194853
Thraupis sayaca;Erythroxylum ambiguum;Erythroxylaceae;1.036;4.2862848;NA;NA;4.440591053;2.288018826
Turdus albicollis;Erythroxylum ambiguum;Erythroxylaceae;0.7055;4.2862848;0.911460641;0.6445;3.023973926;2.288018826
Turdus rufiventris;Erythroxylum ambiguum;Erythroxylaceae;0.168;4.2862848;NA;NA;0.720095846;2.288018826
Ramphastos dicolorus;Erythroxylum ambiguum;Erythroxylaceae;0.054;4.2862848;NA;NA;0.231459379;2.288018826
Turdus rufiventris;Cupania oblongifolia;Sapindaceae;4.9785;3.5871792;4.77792052;3.3785;17.85877165;6.383618333
Turdus albicollis;Cupania oblongifolia;Sapindaceae;0.571;3.5871792;NA;NA;2.048279323;6.383618333
Thraupis palmarum;Cupania oblongifolia;Sapindaceae;0.062;3.5871792;NA;NA;0.22240511;6.383618333
Thraupis sayaca;Cupania oblongifolia;Sapindaceae;0.062;3.5871792;NA;NA;0.22240511;6.383618333
Euphonia chlorotica;Cupania oblongifolia;Sapindaceae;0.017;3.5871792;NA;NA;0.060982046;6.383618333
Thraupis sayaca;Copaifera langsdorffii;Fabaceae;1.35;1.40287686;NA;NA;1.893883761;0.537068025
Turdus rufiventris;Copaifera langsdorffii;Fabaceae;0.2485;1.40287686;0.214253355;0.1515;0.3486149;0.537068025
Tangara cayana;Copaifera langsdorffii;Fabaceae;0.211;1.40287686;0.015556349;0.011;0.296007017;0.537068025
Turdus albicollis;Copaifera langsdorffii;Fabaceae;0.028;1.40287686;NA;NA;0.039280552;0.537068025
Thraupis sayaca;Citharexylum myrianthum;Verbenaceae;0.774333333;2.0816495;0.666338002;0.384710425;1.611890596;1.206464575
Turdus rufiventris;Citharexylum myrianthum;Verbenaceae;0.517;2.0816495;0.636396103;0.45;1.076212792;1.206464575
Turdus albicollis;Citharexylum myrianthum;Verbenaceae;0.5;2.0816495;NA;NA;1.04082475;1.206464575
Euphonia violacea;Citharexylum myrianthum;Verbenaceae;0.2;2.0816495;NA;NA;0.4163299;1.206464575
Turdus rufiventris;Cinnamomum triplinerve;Lauraceae;12;2.5035322;NA;NA;30.0423864;30.0423864
Tangara cayana;Cecropia pachystachya;Urticaceae;0.011;5.38816;NA;NA;0.05926976;0.03771712
Thraupis sayaca;Cecropia pachystachya;Urticaceae;0.007;5.38816;0.002828427;0.002;0.03771712;0.03771712
Thraupis palmarum;Cecropia pachystachya;Urticaceae;0.005;5.38816;0.002828427;0.002;0.0269408;0.03771712
Thraupis sayaca;Cecropia glaziovii;Urticaceae;0.263;5.0789972;0.36910974;0.261;1.335776264;0.180425631
Thraupis palmarum;Cecropia glaziovii;Urticaceae;0.0585;5.0789972;0.065760931;0.0465;0.297121336;0.180425631
Selenidera maculirostris;Cecropia glaziovii;Urticaceae;0.0435;5.0789972;0.050204581;0.0355;0.220936378;0.180425631
