taxa;taxa;plant_familiy;QTY_mean;QTY_SE;energy_fruit;TE;TE2;s_energy;type;PDM;WATER;LIP;PRO;SSUGAR;INSUGAR;NSC
Ficus_benjamina;Ficus benjamina;Moraceae;4.8145;3.6445;1.1924686;5.741140075;5.741140075;14.5423;3;0.082;0.8;0.045;0.064;NA;NA;0.799
Ficus_insipida;Ficus insipida;Moraceae;15;NA;33.2611136;128.899056;128.899056;14.5372;1;2.288;0.86;0.045;0.054;0.002;0.092;0.908
Sorocea_ilicifolia;Sorocea ilicifolia;Moraceae;0.400261401;NA;4.480036;1.793185487;1.793185487;15.4484;1;0.29;0.77;0.05;0.103;NA;NA;NA
Virola_bicuhyba;Virola bicuhyba;Myristicaceae;0.088714286;0.042416144;14.722418;1.306088797;1.306088797;20.7358;2;0.71;0.54;0.569;0.055;0.003;NA;NA
Virola_oleifera;Virola oleifera;Myristicaceae;0.008481609;0.002006969;11.0401599;0.093638315;0.093638315;27.1257;1;0.407;0.63;0.618;0.046;NA;NA;NA
Virola_sebifera;Virola sebifera;Myristicaceae;0.3314;0.174845532;2.53614;0.840476796;0.959294955;21.1345;3;0.12;0.41;0.539;0.071;NA;NA;0.084
Eugenia_umbelliflora;Eugenia umbelliflora;Myrtaceae;0.8764;0.4463972;0.785252;0.688194853;0.688194853;3.0202;2;0.26;0.53;0.039;0.036;0.076;NA;NA
Eugenia_uniflora;Eugenia uniflora;Myrtaceae;1.81;1.203990822;6.4898256;11.74658434;6.717690588;15.0576;3;0.431;0.86;0.028;0.056;NA;NA;0.88
Myrsine_coriacea;Myrsine coriacea;Primulaceae;3.049;0.944679651;0.2509052;0.765009955;0.487280201;19.3004;2;0.013;NA;0.508;0.05;0.012;0.042;NA
Myrsine_gardneriana;Myrsine gardneriana;Primulaceae;0.067333333;0.036269056;0.1690458;0.011382417;0.011382417;7.6839;2;0.022;NA;0.119;0.09;0.031;0.118;NA
Myrsine_umbellata;Myrsine umbellata;Primulaceae;4.735333333;3.839864743;0.025792;0.122133717;0.145974982;3.224;2;0.008;0.86;0.08;0.029;0.001;NA;NA
Phoradendron_affine;Phoradendron affine;Santalaceae;35.998;0.32;0.1536285;5.530318743;5.530318743;21.045;4;0.0073;NA;NA;NA;NA;NA;NA
Phoradendron_crassifolium;Phoradendron crassifolium;Santalaceae;3.813;NA;0.1536285;0.585785471;0.585785471;21.045;4;0.0073;0.92;NA;NA;NA;NA;NA
Phoradendron_piperoides;Phoradendron piperoides;Santalaceae;3.5985;1.1995;0.1536285;0.552832157;0.552832157;21.045;4;0.0073;NA;NA;NA;NA;NA;NA
Cupania_oblongifolia;Cupania oblongifolia;Sapindaceae;1.778166667;1.338683518;3.59;6.383618333;4.085779;27.1756;1;0.132;0.56;0.626;0.11;NA;NA;NA
Acnistus_arborescens;Acnistus arborescens;Solanaceae;0.8335;0.2225;0.254202624;0.211877887;0.211877887;9.8072;3;0.02592;0.82;0.04;0.079;NA;NA;0.483
Cecropia_glaziovii;Cecropia glaziovii;Urticaceae;0.035523869;0.02193621;5.0789972;0.180425631;0.176665863;4.2695;2;1.1896;NA;0.037;0.121;0.008;0.077;NA
Cecropia_pachystachya;Cecropia pachystachya;Urticaceae;0.007;0.001414214;5.38816;0.03771712;0.041309227;6.7352;1;0.8;0.718;0.068;0.054;NA;NA;NA
Citharexylum_myrianthum;Citharexylum myrianthum;Verbenaceae;0.579571429;0.193036248;2.0816495;1.206464575;1.036314509;15.6515;1;0.133;0.81;0.063;0.068;NA;NA;NA
