plant_family;plant;frug_family;frug;QTY;energy_fruit;TE;TE_plant
Lauraceae;Ocotea pulchella;Turdidae;Turdus rufiventris;1.911;1.63;3.107346388;3.107346388
Arecaceae;Euterpe edulis;Cracidae;Aburria jacutinga;0.542;5.18;2.807008244;0.825184465
Arecaceae;Euterpe edulis;Ramphastidae;Selenidera maculirostris;0.527;5.18;2.729323514;0.825184465
Urticaceae;Cecropia glaziovii;Thraupidae;Thraupis sayaca;0.524;5.08;2.661394533;0.180425631
Burseraceae;Protium heptaphyllum;Fringillidae;Euphonia violacea;0.625;4.20;2.6270865;4.905616288
Arecaceae;Euterpe edulis;Ramphastidae;Baillonius bailloni;0.491;5.18;2.542880162;0.825184465
Myristicaceae;Virola sebifera;Thraupidae;Thraupis palmarum;1;2.54;2.53614;0.840476796
Primulaceae;Myrsine coriacea;Turdidae;Turdus rufiventris;9.967;0.25;2.500772128;0.765009955
Euphorbiaceae;Alchornea glandulosa;Turdidae;Turdus albicollis;4.208;0.50;2.106957845;1.839999744
Sapindaceae;Cupania oblongifolia;Turdidae;Turdus albicollis;0.571;3.59;2.048279323;6.383618333
Myrtaceae;Eugenia umbelliflora;Thraupidae;Thraupis sayaca;2.6;0.79;2.0416552;0.688194853
Verbenaceae;Citharexylum myrianthum;Turdidae;Turdus rufiventris;0.967;2.08;2.012955067;1.206464575
Fabaceae;Copaifera langsdorffii;Thraupidae;Thraupis sayaca;1.35;1.40;1.893883761;0.537068025
Meliaceae;Cabralea canjerana;Trogonidae;Trogon surrucura;0.188;10.02;1.88301834;15.37420079
Burseraceae;Protium heptaphyllum;Turdidae;Turdus rufiventris;0.447;4.20;1.878892265;4.905616288
Anacardiaceae;Tapirira guianensis;Fringillidae;Euphonia violacea;0.196;9.44;1.850160855;10.1853243
Arecaceae;Euterpe edulis;Turdidae;Turdus albicollis;0.353;5.18;1.828180646;0.825184465
Moraceae;Sorocea ilicifolia;Cotingidae;Procnias nudicollis;0.400261401;4.48;1.793185487;1.793185487
Araliaceae;Schefflera morototoni;Turdidae;Turdus albicollis;0.894;1.88;1.6787085;0.92278
Arecaceae;Euterpe edulis;Ramphastidae;Selenidera maculirostris;0.32;5.18;1.65727424;0.825184465
Arecaceae;Euterpe edulis;Turdidae;Turdus albicollis;0.312;5.18;1.615842384;0.825184465
Araliaceae;Schefflera morototoni;Thraupidae;Thraupis sayaca;0.788;1.88;1.479667;0.92278
Moraceae;Ficus benjamina;Thraupidae;Thraupis palmarum;1.17;1.19;1.395188262;5.741140075
Arecaceae;Euterpe edulis;Ramphastidae;Selenidera maculirostris;0.267;5.18;1.382788194;0.825184465
Verbenaceae;Citharexylum myrianthum;Thraupidae;Thraupis sayaca;0.633;2.08;1.317684134;1.206464575
Cannabaceae;Trema micrantha;Turdidae;Turdus rufiventris;11.154;0.11;1.266262312;0.387802766
Arecaceae;Euterpe edulis;Cracidae;Aburria jacutinga;0.244;5.18;1.263671608;0.825184465
Arecaceae;Euterpe edulis;Turdidae;Turdus rufiventris;0.242;5.18;1.253313644;0.825184465
Arecaceae;Euterpe edulis;Trogonidae;Trogon viridis;0.241;5.18;1.248134662;0.825184465
Arecaceae;Euterpe edulis;Ramphastidae;Ramphastos vitellinus;0.236;5.18;1.222239752;0.825184465
Araliaceae;Schefflera morototoni;Thraupidae;Thraupis palmarum;0.647;1.88;1.21490425;0.92278
Arecaceae;Euterpe edulis;Cotingidae;Procnias nudicollis;0.233;5.18;1.206702806;0.825184465
Euphorbiaceae;Alchornea triplinervia;Turdidae;Turdus rufiventris;0.849;1.40;1.188901899;0.773533114
Myristicaceae;Virola bicuhyba;Ramphastidae;Selenidera maculirostris;0.078;14.72;1.148348604;1.306088797
Myristicaceae;Virola bicuhyba;Cracidae;Aburria jacutinga;0.077;14.72;1.133626186;1.306088797
Elaeocarpaceae;Sloanea guianensis;Fringillidae;Euphonia pectoralis;0.393;2.75;1.081225107;0.654787724
Primulaceae;Myrsine coriacea;Turdidae;Turdus albicollis;4.286;0.25;1.075379687;0.765009955
Araliaceae;Schefflera morototoni;Thraupidae;Thraupis palmarum;0.572;1.88;1.074073;0.92278
Primulaceae;Myrsine coriacea;Thraupidae;Thraupis sayaca;4.275;0.25;1.07261973;0.765009955
Primulaceae;Myrsine coriacea;Turdidae;Turdus rufiventris;4.229;0.25;1.061078091;0.765009955
Burseraceae;Protium heptaphyllum;Fringillidae;Euphonia chlorotica;0.251;4.20;1.055037938;4.905616288
Verbenaceae;Citharexylum myrianthum;Turdidae;Turdus albicollis;0.5;2.08;1.04082475;1.206464575
Euphorbiaceae;Alchornea glandulosa;Thraupidae;Thraupis palmarum;2.075;0.50;1.038958538;1.839999744
Euphorbiaceae;Alchornea glandulosa;Turdidae;Turdus albicollis;2;0.50;1.00140582;1.839999744
Elaeocarpaceae;Sloanea guianensis;Ramphastidae;Selenidera maculirostris;0.357;2.75;0.982181586;0.654787724
Euphorbiaceae;Alchornea triplinervia;Trogonidae;Trogon surrucura;0.69;1.40;0.96624536;0.773533114
Myristicaceae;Virola bicuhyba;Turdidae;Turdus albicollis;0.065;14.72;0.95695717;1.306088797
Primulaceae;Myrsine coriacea;Thraupidae;Tangara cyanocephala;3.791;0.25;0.951181613;0.765009955
Euphorbiaceae;Alchornea glandulosa;Turdidae;Turdus rufiventris;1.878;0.50;0.940320065;1.839999744
Primulaceae;Myrsine coriacea;Turdidae;Turdus rufiventris;3.593;0.25;0.901502384;0.765009955
Araliaceae;Schefflera morototoni;Ramphastidae;Ramphastos vitellinus;0.469;1.88;0.88066475;0.92278
Arecaceae;Euterpe edulis;Ramphastidae;Ramphastos vitellinus;0.17;5.18;0.88042694;0.825184465
Arecaceae;Euterpe edulis;Cracidae;Aburria jacutinga;0.168;5.18;0.870068976;0.825184465
Myristicaceae;Virola sebifera;Turdidae;Turdus rufiventris;0.338;2.54;0.85721532;0.840476796
Meliaceae;Cabralea canjerana;Trogonidae;Trogon surrucura;0.085;10.02;0.851364675;15.37420079
Arecaceae;Euterpe edulis;Ramphastidae;Baillonius bailloni;0.162;5.18;0.838995084;0.825184465
Cannabaceae;Trema micrantha;Thraupidae;Thraupis sayaca;7.231;0.11;0.820902167;0.387802766
Arecaceae;Euterpe edulis;Cotingidae;Procnias nudicollis;0.158;5.18;0.818279156;0.825184465
Arecaceae;Euterpe edulis;Turdidae;Turdus rufiventris;0.155;5.18;0.80274221;0.825184465
Elaeocarpaceae;Sloanea guianensis;Thraupidae;Tangara cyanocephala;0.286;2.75;0.786845752;0.654787724
Arecaceae;Euterpe edulis;Ramphastidae;Ramphastos vitellinus;0.151;5.18;0.782026282;0.825184465
Arecaceae;Euterpe edulis;Cracidae;Penelope obscura;0.145;5.18;0.75095239;0.825184465
Santalaceae;Phoradendron piperoides;Fringillidae;Euphonia chlorotica;4.798;0.15;0.737109543;0.552832157
Arecaceae;Euterpe edulis;Cotingidae;Procnias nudicollis;0.142;5.18;0.735415444;0.825184465
Arecaceae;Euterpe edulis;Ramphastidae;Selenidera maculirostris;0.142;5.18;0.735415444;0.825184465
Erythroxylaceae;Erythroxylum ambiguum;Turdidae;Turdus rufiventris;0.168;4.29;0.720095846;2.288018826
Burseraceae;Protium heptaphyllum;Thraupidae;Tangara cayana;0.168;4.20;0.706160851;4.905616288
Arecaceae;Euterpe edulis;Trogonidae;Trogon viridis;0.133;5.18;0.688804606;0.825184465
Elaeocarpaceae;Sloanea guianensis;Thraupidae;Tangara seledon;0.25;2.75;0.687802231;0.654787724
Myrtaceae;Eugenia umbelliflora;Turdidae;Turdus rufiventris;0.837;0.79;0.657255924;0.688194853
Burseraceae;Protium heptaphyllum;Ramphastidae;Ramphastos vitellinus;0.156;4.20;0.65572079;4.905616288
Primulaceae;Myrsine coriacea;Turdidae;Turdus albicollis;2.609;0.25;0.654611667;0.765009955
Myrtaceae;Eugenia uniflora;Turdidae;Turdus rufiventris;0.1;6.49;0.64898256;11.74658434
Primulaceae;Myrsine coriacea;Turdidae;Turdus rufiventris;2.452;0.25;0.61521955;0.765009955
Primulaceae;Myrsine umbellata;Turdidae;Turdus albicollis;23.806;0.03;0.614004352;0.122133717
Santalaceae;Phoradendron crassifolium;Fringillidae;Euphonia violacea;3.813;0.15;0.585785471;0.585785471
Arecaceae;Euterpe edulis;Ramphastidae;Ramphastos vitellinus;0.111;5.18;0.574867002;0.825184465
Fabaceae;Copaifera langsdorffii;Turdidae;Turdus rufiventris;0.4;1.40;0.561150744;0.537068025
Arecaceae;Euterpe edulis;Cracidae;Penelope obscura;0.107;5.18;0.554151074;0.825184465
Urticaceae;Cecropia glaziovii;Thraupidae;Thraupis palmarum;0.105;5.08;0.533294706;0.180425631
Arecaceae;Euterpe edulis;Turdidae;Turdus albicollis;0.102;5.18;0.528256164;0.825184465
Arecaceae;Euterpe edulis;Trogonidae;Trogon viridis;0.098;5.18;0.507540236;0.825184465
Euphorbiaceae;Alchornea glandulosa;Thraupidae;Tangara seledon;0.98;0.50;0.490688852;1.839999744
Meliaceae;Cabralea canjerana;Ramphastidae;Selenidera maculirostris;0.047657113;10.02;0.477336264;15.37420079
Myristicaceae;Virola sebifera;Cotingidae;Tityra cayana;0.188;2.54;0.47679432;0.840476796
Arecaceae;Euterpe edulis;Cotingidae;Procnias nudicollis;0.086;5.18;0.445392452;0.825184465
Cannabaceae;Trema micrantha;Thraupidae;Tangara cayana;3.9;0.11;0.44274906;0.387802766
Arecaceae;Euterpe edulis;Ramphastidae;Ramphastos vitellinus;0.084;5.18;0.435034488;0.825184465
Arecaceae;Euterpe edulis;Turdidae;Turdus albicollis;0.084;5.18;0.435034488;0.825184465
Arecaceae;Euterpe edulis;Ramphastidae;Ramphastos dicolorus;0.082;5.18;0.424676524;0.825184465
Primulaceae;Myrsine coriacea;Thraupidae;Tangara cyanocephala;1.667;0.25;0.418258968;0.765009955
Euphorbiaceae;Alchornea glandulosa;Thraupidae;Thraupis palmarum;0.835;0.50;0.41808693;1.839999744
Euphorbiaceae;Alchornea glandulosa;Thraupidae;Tangara cyanocephala;0.833;0.50;0.417085524;1.839999744
Verbenaceae;Citharexylum myrianthum;Fringillidae;Euphonia violacea;0.2;2.08;0.4163299;1.206464575
Myrtaceae;Eugenia umbelliflora;Turdidae;Turdus albicollis;0.52;0.79;0.40833104;0.688194853
Anacardiaceae;Schinus terebinthifolius;Thraupidae;Thraupis sayaca;18.9;0.02;0.40137174;0.087649983
Urticaceae;Cecropia glaziovii;Ramphastidae;Selenidera maculirostris;0.079;5.08;0.401240779;0.180425631
Verbenaceae;Citharexylum myrianthum;Thraupidae;Thraupis sayaca;0.19;2.08;0.395513405;1.206464575
Arecaceae;Euterpe edulis;Turdidae;Turdus albicollis;0.074;5.18;0.383244668;0.825184465
Myristicaceae;Virola bicuhyba;Thraupidae;Thraupis palmarum;0.026;14.72;0.382782868;1.306088797
Myristicaceae;Virola bicuhyba;Turdidae;Turdus rufiventris;0.026;14.72;0.382782868;1.306088797
Arecaceae;Euterpe edulis;Ramphastidae;Ramphastos dicolorus;0.073;5.18;0.378065686;0.825184465
Arecaceae;Euterpe edulis;Cracidae;Penelope obscura;0.072;5.18;0.372886704;0.825184465
Santalaceae;Phoradendron piperoides;Fringillidae;Euphonia violacea;2.399;0.15;0.368554772;0.552832157
Euphorbiaceae;Alchornea glandulosa;Thraupidae;Tangara cayana;0.68;0.50;0.340477979;1.839999744
Arecaceae;Euterpe edulis;Cotingidae;Procnias nudicollis;0.065;5.18;0.33663383;0.825184465
Arecaceae;Euterpe edulis;Turdidae;Turdus albicollis;0.065;5.18;0.33663383;0.825184465
Arecaceae;Euterpe edulis;Ramphastidae;Ramphastos dicolorus;0.062;5.18;0.321096884;0.825184465
Primulaceae;Myrsine coriacea;Turdidae;Turdus albicollis;1.271;0.25;0.318900509;0.765009955
Fabaceae;Copaifera langsdorffii;Thraupidae;Tangara cayana;0.222;1.40;0.311438663;0.537068025
Arecaceae;Euterpe edulis;Ramphastidae;Selenidera maculirostris;0.059;5.18;0.305559938;0.825184465
Arecaceae;Euterpe edulis;Ramphastidae;Selenidera maculirostris;0.056;5.18;0.290022992;0.825184465
Cannabaceae;Trema micrantha;Thraupidae;Thraupis palmarum;2.538;0.11;0.288127465;0.387802766
Fabaceae;Copaifera langsdorffii;Thraupidae;Tangara cayana;0.2;1.40;0.280575372;0.537068025
Primulaceae;Myrsine coriacea;Ramphastidae;Ramphastos dicolorus;1.095;0.25;0.274741194;0.765009955
Solanaceae;Acnistus arborescens;Thraupidae;Tangara cayana;1.056;0.25;0.268437971;0.211877887
Anacardiaceae;Tapirira guianensis;Thraupidae;Thraupis palmarum;0.028;9.44;0.264308694;10.1853243
Primulaceae;Myrsine coriacea;Thraupidae;Thraupis sayaca;1.048;0.25;0.26294865;0.765009955
Erythroxylaceae;Erythroxylum ambiguum;Turdidae;Turdus albicollis;0.061;4.29;0.261463373;2.288018826
Arecaceae;Euterpe edulis;Ramphastidae;Baillonius bailloni;0.05;5.18;0.2589491;0.825184465
Myristicaceae;Virola sebifera;Cotingidae;Tityra cayana;0.1;2.54;0.253614;0.840476796
Arecaceae;Euterpe edulis;Turdidae;Turdus albicollis;0.046;5.18;0.238233172;0.825184465
Arecaceae;Euterpe edulis;Ramphastidae;Ramphastos dicolorus;0.045;5.18;0.23305419;0.825184465
Arecaceae;Euterpe edulis;Trogonidae;Trogon viridis;0.045;5.18;0.23305419;0.825184465
Erythroxylaceae;Erythroxylum ambiguum;Ramphastidae;Ramphastos dicolorus;0.054;4.29;0.231459379;2.288018826
Urticaceae;Cecropia glaziovii;Ramphastidae;Ramphastos dicolorus;0.044;5.08;0.223475877;0.180425631
Sapindaceae;Cupania oblongifolia;Thraupidae;Thraupis palmarum;0.062;3.59;0.22240511;6.383618333
Sapindaceae;Cupania oblongifolia;Thraupidae;Thraupis sayaca;0.062;3.59;0.22240511;6.383618333
Lauraceae;Nectandra megapotamica;Trogonidae;Trogon surrucura;0.114;1.93;0.219573956;6.13025447
Myrtaceae;Eugenia uniflora;Ramphastidae;Ramphastos dicolorus;0.033;6.49;0.214164245;11.74658434
Urticaceae;Cecropia glaziovii;Cracidae;Aburria jacutinga;0.042;5.08;0.213317882;0.180425631
Arecaceae;Euterpe edulis;Ramphastidae;Ramphastos dicolorus;0.04;5.18;0.20715928;0.825184465
Myrtaceae;Eugenia umbelliflora;Cotingidae;Procnias nudicollis;0.26;0.79;0.20416552;0.688194853
Anacardiaceae;Schinus terebinthifolius;Thraupidae;Thraupis sayaca;9.529;0.02;0.202363561;0.087649983
Elaeocarpaceae;Sloanea guianensis;Thraupidae;Tangara cayana;0.071;2.75;0.195335834;0.654787724
Elaeocarpaceae;Sloanea guianensis;Cotingidae;Tityra cayana;0.071;2.75;0.195335834;0.654787724
Arecaceae;Euterpe edulis;Cotingidae;Procnias nudicollis;0.037;5.18;0.191622334;0.825184465
Myristicaceae;Virola bicuhyba;Ramphastidae;Ramphastos vitellinus;0.013;14.72;0.191391434;1.306088797
Arecaceae;Euterpe edulis;Cracidae;Penelope obscura;0.036;5.18;0.186443352;0.825184465
Arecaceae;Euterpe edulis;Turdidae;Turdus rufiventris;0.035;5.18;0.18126437;0.825184465
Arecaceae;Euterpe edulis;Trogonidae;Trogon viridis;0.034;5.18;0.176085388;0.825184465
Primulaceae;Myrsine coriacea;Cotingidae;Tityra cayana;0.699;0.25;0.175382735;0.765009955
Primulaceae;Myrsine coriacea;Thraupidae;Tangara seledon;0.667;0.25;0.167353768;0.765009955
Primulaceae;Myrsine coriacea;Thraupidae;Tangara seledon;0.667;0.25;0.167353768;0.765009955
Cannabaceae;Trema micrantha;Thraupidae;Tangara cyanocephala;1.462;0.11;0.165974135;0.387802766
Lauraceae;Nectandra megapotamica;Cotingidae;Tityra cayana;0.086;1.93;0.165643511;6.13025447
Myristicaceae;Virola oleifera;Ramphastidae;Ramphastos dicolorus;0.015;11.04;0.165602399;0.093638315
Arecaceae;Euterpe edulis;Cracidae;Penelope obscura;0.031;5.18;0.160548442;0.825184465
Arecaceae;Euterpe edulis;Ramphastidae;Ramphastos vitellinus;0.03;5.18;0.15536946;0.825184465
Solanaceae;Acnistus arborescens;Thraupidae;Thraupis sayaca;0.611;0.25;0.155317803;0.211877887
Melastomataceae;Miconia prasina;Thraupidae;Thraupis palmarum;0.133;1.12;0.149599863;3.249204042
Melastomataceae;Miconia prasina;Thraupidae;Thraupis sayaca;0.133;1.12;0.149599863;3.249204042
Arecaceae;Euterpe edulis;Ramphastidae;Ramphastos vitellinus;0.028;5.18;0.145011496;0.825184465
Verbenaceae;Citharexylum myrianthum;Turdidae;Turdus rufiventris;0.067;2.08;0.139470517;1.206464575
Euphorbiaceae;Alchornea glandulosa;Thraupidae;Thraupis sayaca;0.278;0.50;0.139195409;1.839999744
Fabaceae;Copaifera langsdorffii;Turdidae;Turdus rufiventris;0.097;1.40;0.136079055;0.537068025
Arecaceae;Euterpe edulis;Ramphastidae;Ramphastos vitellinus;0.026;5.18;0.134653532;0.825184465
Burseraceae;Protium heptaphyllum;Turdidae;Turdus albicollis;0.031;4.20;0.13030349;4.905616288
Myrtaceae;Eugenia umbelliflora;Thraupidae;Thraupis palmarum;0.165;0.79;0.12956658;0.688194853
Arecaceae;Euterpe edulis;Ramphastidae;Selenidera maculirostris;0.025;5.18;0.12947455;0.825184465
Myristicaceae;Virola oleifera;Trogonidae;Trogon viridis;0.011;11.04;0.121441759;0.093638315
Arecaceae;Euterpe edulis;Trogonidae;Trogon viridis;0.023;5.18;0.119116586;0.825184465
Araliaceae;Schefflera morototoni;Turdidae;Turdus rufiventris;0.063;1.88;0.11829825;0.92278
Anacardiaceae;Schinus terebinthifolius;Thraupidae;Tangara cayana;5.4;0.02;0.11467764;0.087649983
Euphorbiaceae;Alchornea triplinervia;Turdidae;Turdus albicollis;0.075;1.51;0.113450287;0.773533114
Arecaceae;Euterpe edulis;Turdidae;Turdus albicollis;0.021;5.18;0.108758622;0.825184465
Cannabaceae;Trema micrantha;Thraupidae;Thraupis sayaca;0.9;0.11;0.10217286;0.387802766
Arecaceae;Euterpe edulis;Thraupidae;Tangara seledon;0.019;5.18;0.098400658;0.825184465
Arecaceae;Euterpe edulis;Turdidae;Turdus albicollis;0.019;5.18;0.098400658;0.825184465
Arecaceae;Euterpe edulis;Turdidae;Turdus rufiventris;0.019;5.18;0.098400658;0.825184465
Primulaceae;Myrsine coriacea;Thraupidae;Thraupis sayaca;0.375;0.25;0.09408945;0.765009955
Arecaceae;Euterpe edulis;Cotingidae;Procnias nudicollis;0.018;5.18;0.093221676;0.825184465
Arecaceae;Euterpe edulis;Turdidae;Turdus albicollis;0.018;5.18;0.093221676;0.825184465
Arecaceae;Euterpe edulis;Turdidae;Turdus rufiventris;0.018;5.18;0.093221676;0.825184465
Arecaceae;Euterpe edulis;Cotingidae;Procnias nudicollis;0.017;5.18;0.088042694;0.825184465
Arecaceae;Euterpe edulis;Thraupidae;Tangara seledon;0.017;5.18;0.088042694;0.825184465
Arecaceae;Euterpe edulis;Turdidae;Turdus albicollis;0.017;5.18;0.088042694;0.825184465
Primulaceae;Myrsine coriacea;Turdidae;Turdus albicollis;0.333;0.25;0.083551432;0.765009955
Myristicaceae;Virola sebifera;Turdidae;Turdus albicollis;0.031;2.54;0.07862034;0.840476796
Arecaceae;Euterpe edulis;Ramphastidae;Ramphastos dicolorus;0.015;5.18;0.07768473;0.825184465
Anacardiaceae;Schinus terebinthifolius;Thraupidae;Thraupis sayaca;3.643;0.02;0.077364934;0.087649983
Myristicaceae;Virola oleifera;Ramphastidae;Baillonius bailloni;0.007;11.04;0.077281119;0.093638315
Arecaceae;Euterpe edulis;Ramphastidae;Ramphastos dicolorus;0.014;5.18;0.072505748;0.825184465
Anacardiaceae;Schinus terebinthifolius;Turdidae;Turdus rufiventris;3.397;0.02;0.07214073;0.087649983
Primulaceae;Myrsine umbellata;Turdidae;Turdus rufiventris;2.747;0.03;0.070850624;0.122133717
Primulaceae;Myrsine coriacea;Thraupidae;Thraupis sayaca;0.281;0.25;0.070504361;0.765009955
Anacardiaceae;Schinus terebinthifolius;Turdidae;Turdus albicollis;3.225;0.02;0.068488035;0.087649983
Primulaceae;Myrsine coriacea;Thraupidae;Thraupis palmarum;0.267;0.25;0.066991688;0.765009955
Primulaceae;Myrsine coriacea;Turdidae;Turdus albicollis;0.25;0.25;0.0627263;0.765009955
Arecaceae;Euterpe edulis;Turdidae;Turdus rufiventris;0.012;5.18;0.062147784;0.825184465
Sapindaceae;Cupania oblongifolia;Fringillidae;Euphonia chlorotica;0.017;3.59;0.060982046;6.383618333
Urticaceae;Cecropia glaziovii;Thraupidae;Thraupis palmarum;0.012;5.08;0.060947966;0.180425631
Myristicaceae;Virola oleifera;Cotingidae;Procnias nudicollis;0.005408043;11.04;0.059705661;0.093638315
Urticaceae;Cecropia pachystachya;Thraupidae;Tangara cayana;0.011;5.39;0.05926976;0.03771712
Arecaceae;Euterpe edulis;Trogonidae;Trogon viridis;0.011;5.18;0.056968802;0.825184465
Arecaceae;Euterpe edulis;Turdidae;Turdus albicollis;0.011;5.18;0.056968802;0.825184465
Arecaceae;Euterpe edulis;Turdidae;Turdus rufiventris;0.011;5.18;0.056968802;0.825184465
Anacardiaceae;Tapirira guianensis;Thraupidae;Tangara cayana;0.006;9.44;0.056637577;10.1853243
Melastomataceae;Miconia pusilliflora;Turdidae;Turdus rufiventris;0.118;0.47;0.055650924;0.055650924
Arecaceae;Euterpe edulis;Trogonidae;Trogon viridis;0.01;5.18;0.05178982;0.825184465
Urticaceae;Cecropia pachystachya;Thraupidae;Thraupis sayaca;0.009;5.39;0.04849344;0.03771712
Anacardiaceae;Schinus terebinthifolius;Thraupidae;Thraupis sayaca;2.2;0.02;0.04672052;0.087649983
Arecaceae;Euterpe edulis;Ramphastidae;Ramphastos dicolorus;0.009;5.18;0.046610838;0.825184465
Arecaceae;Euterpe edulis;Cotingidae;Tityra cayana;0.009;5.18;0.046610838;0.825184465
Arecaceae;Euterpe edulis;Cotingidae;Tityra cayana;0.009;5.18;0.046610838;0.825184465
Arecaceae;Euterpe edulis;Turdidae;Turdus rufiventris;0.009;5.18;0.046610838;0.825184465
Anacardiaceae;Schinus terebinthifolius;Thraupidae;Thraupis palmarum;2.186;0.02;0.046423208;0.087649983
Anacardiaceae;Schinus terebinthifolius;Turdidae;Turdus rufiventris;2.15;0.02;0.04565869;0.087649983
Anacardiaceae;Schinus terebinthifolius;Turdidae;Turdus rufiventris;2.15;0.02;0.04565869;0.087649983
Myristicaceae;Virola oleifera;Ramphastidae;Selenidera maculirostris;0.004;11.04;0.04416064;0.093638315
Primulaceae;Myrsine umbellata;Thraupidae;Tangara cyanocephala;1.605;0.03;0.04139616;0.122133717
Urticaceae;Cecropia glaziovii;Ramphastidae;Selenidera maculirostris;0.008;5.08;0.040631978;0.180425631
Fabaceae;Copaifera langsdorffii;Turdidae;Turdus albicollis;0.028;1.40;0.039280552;0.537068025
Urticaceae;Cecropia pachystachya;Thraupidae;Thraupis palmarum;0.007;5.39;0.03771712;0.03771712
Arecaceae;Euterpe edulis;Thraupidae;Tangara cyanocephala;0.007;5.18;0.036252874;0.825184465
Arecaceae;Euterpe edulis;Thraupidae;Tangara seledon;0.007;5.18;0.036252874;0.825184465
Arecaceae;Euterpe edulis;Thraupidae;Tangara seledon;0.007;5.18;0.036252874;0.825184465
Urticaceae;Cecropia glaziovii;Cracidae;Aburria jacutinga;0.007;5.08;0.03555298;0.180425631
Urticaceae;Cecropia glaziovii;Cotingidae;Tityra cayana;0.007;5.08;0.03555298;0.180425631
Primulaceae;Myrsine coriacea;Thraupidae;Tangara cayana;0.133;0.25;0.033370392;0.765009955
Arecaceae;Euterpe edulis;Cotingidae;Tityra cayana;0.006;5.18;0.031073892;0.825184465
Arecaceae;Euterpe edulis;Trogonidae;Trogon viridis;0.006;5.18;0.031073892;0.825184465
Urticaceae;Cecropia pachystachya;Thraupidae;Thraupis sayaca;0.005;5.39;0.0269408;0.03771712
Primulaceae;Myrsine gardneriana;Thraupidae;Thraupis palmarum;0.137;0.17;0.023159275;0.011382417
Arecaceae;Euterpe edulis;Turdidae;Turdus rufiventris;0.004;5.18;0.020715928;0.825184465
Urticaceae;Cecropia glaziovii;Trogonidae;Trogon viridis;0.004;5.08;0.020315989;0.180425631
Primulaceae;Myrsine coriacea;Thraupidae;Thraupis sayaca;0.067;0.25;0.016810648;0.765009955
Urticaceae;Cecropia pachystachya;Thraupidae;Thraupis palmarum;0.003;5.39;0.01616448;0.03771712
Arecaceae;Euterpe edulis;Cotingidae;Tityra cayana;0.003;5.18;0.015536946;0.825184465
Urticaceae;Cecropia glaziovii;Cracidae;Aburria jacutinga;0.003;5.08;0.015236992;0.180425631
Urticaceae;Cecropia glaziovii;Thraupidae;Tangara seledon;0.003;5.08;0.015236992;0.180425631
Urticaceae;Cecropia glaziovii;Trogonidae;Trogon viridis;0.003;5.08;0.015236992;0.180425631
Araliaceae;Schefflera morototoni;Turdidae;Turdus rufiventris;0.007;1.88;0.01314425;0.92278
Primulaceae;Myrsine coriacea;Thraupidae;Thraupis palmarum;0.048;0.25;0.01204345;0.765009955
Cannabaceae;Trema micrantha;Thraupidae;Thraupis palmarum;0.1;0.11;0.01135254;0.387802766
Anacardiaceae;Schinus terebinthifolius;Turdidae;Turdus rufiventris;0.5;0.02;0.0106183;0.087649983
Urticaceae;Cecropia glaziovii;Fringillidae;Euphonia violacea;0.002;5.08;0.010157994;0.180425631
Urticaceae;Cecropia glaziovii;Thraupidae;Thraupis sayaca;0.002;5.08;0.010157994;0.180425631
Urticaceae;Cecropia glaziovii;Cotingidae;Tityra cayana;0.002;5.08;0.010157994;0.180425631
Primulaceae;Myrsine gardneriana;Thraupidae;Thraupis sayaca;0.05;0.17;0.00845229;0.011382417
Anacardiaceae;Schinus terebinthifolius;Thraupidae;Tangara cyanocephala;0.275;0.02;0.005840065;0.087649983
Urticaceae;Cecropia glaziovii;Trogonidae;Trogon surrucura;0.001;5.08;0.005078997;0.180425631
Urticaceae;Cecropia glaziovii;Trogonidae;Trogon viridis;0.001;5.08;0.005078997;0.180425631
Urticaceae;Cecropia glaziovii;Turdidae;Turdus rufiventris;0.001;5.08;0.005078997;0.180425631
Cannabaceae;Trema micrantha;Thraupidae;Thraupis sayaca;0.043;0.11;0.004881592;0.387802766
Urticaceae;Cecropia glaziovii;Thraupidae;Tangara cyanocephala;0.00094;5.08;0.004774257;0.180425631
Primulaceae;Myrsine umbellata;Thraupidae;Thraupis sayaca;0.152;0.03;0.003920384;0.122133717
Urticaceae;Cecropia glaziovii;Fringillidae;Euphonia chlorotica;0.001;5.08;0.00301112;0.180425631
Primulaceae;Myrsine coriacea;Thraupidae;Thraupis sayaca;0.012;0.25;0.003010862;0.765009955
Primulaceae;Myrsine gardneriana;Thraupidae;Tangara cayana;0.015;0.17;0.002535687;0.011382417
Anacardiaceae;Schinus terebinthifolius;Thraupidae;Tangara cayana;0.1;0.02;0.00212366;0.087649983
Primulaceae;Myrsine umbellata;Thraupidae;Thraupis sayaca;0.075;0.03;0.0019344;0.122133717
Urticaceae;Cecropia glaziovii;Fringillidae;Euphonia violacea;0.00035;5.08;0.001777649;0.180425631
Urticaceae;Cecropia glaziovii;Ramphastidae;Ramphastos dicolorus;0.00035;5.08;0.001777649;0.180425631
Urticaceae;Cecropia glaziovii;Cotingidae;Tityra cayana;0.00034;5.08;0.001726859;0.180425631
Primulaceae;Myrsine umbellata;Thraupidae;Tangara cayana;0.027;0.03;0.000696384;0.122133717
