plant_family;plant;frug_family;frug;QTY;energy_fruit;TE;TE_plant
Melastomataceae;Henriettea saldanhaei;Fringillidae;Euphonia violacea;0.267;NA;NA;NA
Chrysobalanaceae;Hirtella ciliata;Thraupidae;Tangara cayana;NA;NA;NA;NA
Aquifoliaceae;Ilex brevicuspis;Trogonidae;Trogon surrucura;0.028;NA;NA;NA
Aquifoliaceae;Ilex brevicuspis;Turdidae;Turdus albicollis;0.042;NA;NA;NA
Aquifoliaceae;Ilex brevicuspis;Turdidae;Turdus rufiventris;5.931;NA;NA;NA
Aquifoliaceae;Ilex paraguariensis;Thraupidae;Thraupis sayaca;7.623;NA;NA;NA
Aquifoliaceae;Ilex paraguariensis;Turdidae;Turdus rufiventris;9.205;NA;NA;NA
Verbenaceae;Lantana pohliana;Fringillidae;Euphonia violacea;NA;NA;NA;NA
Melastomataceae;Leandra carassana;Turdidae;Turdus albicollis;0.067;NA;NA;NA
Arecaceae;Livistona chinensis;Thraupidae;Tangara cayana;NA;NA;NA;NA
Arecaceae;Livistona chinensis;Thraupidae;Thraupis palmarum;NA;NA;NA;NA
Arecaceae;Livistona chinensis;Thraupidae;Thraupis sayaca;NA;NA;NA;NA
Arecaceae;Livistona chinensis;Turdidae;Turdus albicollis;NA;NA;NA;NA
Arecaceae;Livistona chinensis;Turdidae;Turdus rufiventris;NA;NA;NA;NA
Sapindaceae;Matayba elaeagnoides;Cracidae;Aburria jacutinga;NA;NA;NA;NA
Sapindaceae;Matayba elaeagnoides;Thraupidae;Tangara cayana;0.133;NA;NA;NA
Sapindaceae;Matayba elaeagnoides;Turdidae;Turdus rufiventris;2.137;NA;NA;NA
Sapindaceae;Matayba guianensis;Turdidae;Turdus rufiventris;4.2;NA;NA;NA
Meliaceae;Melia azedarach;Fringillidae;Euphonia chlorotica;0.1;NA;NA;NA
Meliaceae;Melia azedarach;Thraupidae;Tangara cayana;1.7;NA;NA;NA
Meliaceae;Melia azedarach;Thraupidae;Thraupis sayaca;11.12;NA;NA;NA
Meliaceae;Melia azedarach;Turdidae;Turdus rufiventris;0.267;NA;NA;NA
Sabiaceae;Meliosma sinuata;Cracidae;Aburria jacutinga;NA;NA;NA;NA
Melastomataceae;Miconia albicans;Fringillidae;Euphonia violacea;0.133;NA;NA;NA
Melastomataceae;Miconia albicans;Thraupidae;Tangara cyanocephala;44.872;NA;NA;NA
Melastomataceae;Miconia albicans;Thraupidae;Thraupis palmarum;0.008;NA;NA;NA
Melastomataceae;Miconia albicans;Thraupidae;Thraupis palmarum;0.162;NA;NA;NA
Melastomataceae;Miconia albicans;Thraupidae;Thraupis sayaca;0.067;NA;NA;NA
Melastomataceae;Miconia albicans;Thraupidae;Thraupis sayaca;0.162;NA;NA;NA
Melastomataceae;Miconia albicans;Turdidae;Turdus albicollis;2.314;NA;NA;NA
Melastomataceae;Miconia chartacea;Cracidae;Penelope obscura;NA;NA;NA;NA
Melastomataceae;Miconia chartacea;Cotingidae;Procnias nudicollis;NA;NA;NA;NA
Melastomataceae;Miconia chartacea;Turdidae;Turdus rufiventris;0.47;NA;NA;NA
Melastomataceae;Miconia cinerascens;Ramphastidae;Ramphastos dicolorus;0.205;NA;NA;NA
Melastomataceae;Miconia cinerascens;Turdidae;Turdus albicollis;0.523;NA;NA;NA
Melastomataceae;Miconia cinerascens;Turdidae;Turdus albicollis;4.891;NA;NA;NA
Melastomataceae;Miconia cinerascens;Turdidae;Turdus rufiventris;1.136;NA;NA;NA
Melastomataceae;Miconia cinnamomifolia;Ramphastidae;Baillonius bailloni;NA;NA;NA;NA
