;submittedname;acceptedname;sourceid;score;matchedname;authority
264;Vitex megapotamica;Vitex megapotamica;iPlant_TNRS;1;Vitex megapotamica;(Spreng.) Moldenke
265;Vitex polygama;Vitex polygama;iPlant_TNRS;1;Vitex polygama;Cham.
266;Xylopia brasiliensis;Xylopia brasiliensis;iPlant_TNRS;1;Xylopia brasiliensis;Spreng.
267;Xylopia langsdorfiana;Xylopia langsdorfiana;iPlant_TNRS;1;Xylopia langsdorfiana;St.Hilaire & Tulasne
268;Xylopia sericea;Xylopia sericea;iPlant_TNRS;1;Xylopia sericea;A. St.-Hil.
269;Zanthoxylum rhoifolium;Zanthoxylum rhoifolium;iPlant_TNRS;1;Zanthoxylum rhoifolium;Lam.
270;Aureliana fasciculata;Aureliana fasciculata;iPlant_TNRS;1;Aureliana fasciculata;(Vell.) Sendtn.
271;Cryptocarya aschersoniana;Cryptocarya aschersoniana;iPlant_TNRS;1;Cryptocarya aschersoniana;Mez
272;Erythroxylum ambiguum;Erythroxylum ambiguum;iPlant_TNRS;1;Erythroxylum ambiguum;Peyr.
273;Ilex microdonta;Ilex microdonta;iPlant_TNRS;1;Ilex microdonta;Reissek
274;Leandra pilonensis;Leandra pilonensis;iPlant_TNRS;1;Leandra pilonensis;Wurdack
275;Miconia cubatanensis;Miconia cubatanensis;iPlant_TNRS;1;Miconia cubatanensis;Hoehne
276;Miconia discolor;Miconia discolor;iPlant_TNRS;1;Miconia discolor;DC.
277;Miconia inconspicua;Miconia inconspicua;iPlant_TNRS;1;Miconia inconspicua;Miq.
278;Miconia latecrenata;Miconia latecrenata;iPlant_TNRS;1;Miconia latecrenata;(DC.) Naudin
279;Miconia racemifera;Miconia racemifera;iPlant_TNRS;1;Miconia racemifera;(DC.) Triana
280;Miconia sellowiana;Miconia sellowiana;iPlant_TNRS;1;Miconia sellowiana;Naudin
281;Miconia tristis;Miconia tristis;iPlant_TNRS;1;Miconia tristis;Spring
282;Miconia valtheri;Miconia valtheri;iPlant_TNRS;1;Miconia valtheri;Naudin
283;Myrsine coriacea;Myrsine coriacea;iPlant_TNRS;1;Myrsine coriacea;(Sw.) R. Br. ex Roem. & Schult.
284;Myrsine lancifolia;Myrsine lancifolia;iPlant_TNRS;1;Myrsine lancifolia;Mart.
285;Neomitranthes glomerata;Neomitranthes glomerata;iPlant_TNRS;1;Neomitranthes glomerata;(D. Legrand) D. Legrand
286;Solanum variabile;Solanum variabile;iPlant_TNRS;1;Solanum variabile;Mart.
287;Myrcia fallax;Myrcia fallax;iPlant_TNRS;1;Myrcia fallax;(Rich.) DC.
288;Casearia sylvestris;Casearia sylvestris;iPlant_TNRS;1;Casearia sylvestris;Sw.
289;Cinnamodendron dinisii;Cinnamodendron dinisii;iPlant_TNRS;1;Cinnamodendron dinisii;Schwacke
290;Cissampelos andromorpha;Cissampelos andromorpha;iPlant_TNRS;1;Cissampelos andromorpha;DC.
291;Coccocypselum hasslerianum;Coccocypselum hasslerianum;iPlant_TNRS;1;Coccocypselum hasslerianum;Chodat
292;Codonanthe cordifolia;Codonanthe cordifolia;iPlant_TNRS;1;Codonanthe cordifolia;Chautems
293;Fuchsia regia;Fuchsia regia;iPlant_TNRS;1;Fuchsia regia;(Vell.) Munz
294;Leandra australis;Leandra australis;iPlant_TNRS;1;Leandra australis;(Cham.) Cogn.
295;Leandra refracta;Leandra refracta;iPlant_TNRS;1;Leandra refracta;Cogn.
296;Leandra sabiaensis;Leandra;iPlant_TNRS;0.5;Leandra;Raddi
297;Meliosma sinuata;Meliosma sinuata;iPlant_TNRS;1;Meliosma sinuata;Urb.
298;Myrsine gardneriana;Myrsine gardneriana;iPlant_TNRS;1;Myrsine gardneriana;A. DC.
299;Ossaea amygdaloides;Ossaea amygdaloides;iPlant_TNRS;1;Ossaea amygdaloides;Triana
300;Psychotria forsteronioides;Psychotria forsteronioides;iPlant_TNRS;1;Psychotria forsteronioides;MÌ_ll. Arg.
301;Psychotria vellosiana;Psychotria vellosiana;iPlant_TNRS;1;Psychotria vellosiana;Benth.
302;Quiina glazovii;;iPlant_TNRS;0.98;Quiina glaziovii;
303;Rubus brasiliensis;Rubus brasiliensis;iPlant_TNRS;1;Rubus brasiliensis;Mart.
304;Rubus rosifolius;Rubus rosifolius;iPlant_TNRS;1;Rubus rosifolius;Sm.
305;Rubus urticifolius;Rubus urticifolius;iPlant_TNRS;1;Rubus urticifolius;Poir.
306;Solanum inodorum;Solanum inodorum;iPlant_TNRS;1;Solanum inodorum;Vell.
307;Struthanthus vulgaris;Struthanthus marginatus;iPlant_TNRS;1;Struthanthus vulgaris;(Desr.) Blume
308;Vassobia breviflora;Vassobia breviflora;iPlant_TNRS;1;Vassobia breviflora;(Sendtn.) Hunz.
309;Senna macranthera;Senna macranthera;iPlant_TNRS;1;Senna macranthera;(DC. ex Collad.) H.S. Irwin & Barneby
310;Prunus sellowii;Prunus reflexa;iPlant_TNRS;1;Prunus sellowii;(Gardner) Walp.
311;Solanum erianthum;Solanum erianthum;iPlant_TNRS;1;Solanum erianthum;D. Don
