;submittedname;acceptedname;sourceid;score;matchedname;authority
25;Campomanesia xanthocarpa;Campomanesia xanthocarpa;iPlant_TNRS;1;Campomanesia xanthocarpa;Mart. ex O. Berg
26;Ficus insipida;Ficus insipida;iPlant_TNRS;1;Ficus insipida;Willd.
27;Psychotria mapourioides;Psychotria mapourioides;iPlant_TNRS;1;Psychotria mapourioides;DC.
28;Eugenia cuprea;Eugenia cuprea;iPlant_TNRS;1;Eugenia cuprea;(O. Berg) Mattos
29;Sloanea guianensis;Sloanea guianensis;iPlant_TNRS;1;Sloanea guianensis;(Aubl.) Benth.
30;Eugenia oblongata;Eugenia oblongata;iPlant_TNRS;1;Eugenia oblongata;O. Berg
31;Acacia auriculiformis;Acacia auriculiformis;iPlant_TNRS;1;Acacia auriculiformis;A. Cunn. ex Benth.
32;Acnistus arborescens;Acnistus arborescens;iPlant_TNRS;1;Acnistus arborescens;(L.) Schltdl.
33;Aegiphila integrifolia;Aegiphila integrifolia;iPlant_TNRS;1;Aegiphila integrifolia;(Jacq.) B.D. Jacks.
34;Aiouea saligna;Aiouea saligna;iPlant_TNRS;1;Aiouea saligna;Meisn.
35;Alchornea glandulosa;Alchornea glandulosa;iPlant_TNRS;1;Alchornea glandulosa;Poepp.
36;Alchornea sidifolia;Alchornea sidifolia;iPlant_TNRS;1;Alchornea sidifolia;MÌ_ll. Arg.
37;Allophyllus edulis;;iPlant_TNRS;0.5;Allophyllus;
38;Amaioua guianensis;Amaioua guianensis;iPlant_TNRS;1;Amaioua guianensis;Aubl.
39;Amaioua intermedia;Amaioua intermedia;iPlant_TNRS;1;Amaioua intermedia;Mart.
40;Anacardium occidentale;Anacardium occidentale;iPlant_TNRS;1;Anacardium occidentale;L.
41;Annona neosericea;Annona neosericea;iPlant_TNRS;1;Annona neosericea;H. Rainer
42;Anthurium scandens;Anthurium scandens;iPlant_TNRS;1;Anthurium scandens;(Aubl.) Engl.
43;Archontophoenix cunninghamiana;Archontophoenix cunninghamiana;iPlant_TNRS;1;Archontophoenix cunninghamiana;H. Wendl. & Drude
44;Bactris gasipaes;Bactris gasipaes;iPlant_TNRS;1;Bactris gasipaes;Kunth
45;Byrsonima cydoniifolia;Byrsonima cydoniifolia;iPlant_TNRS;1;Byrsonima cydoniifolia;A. Juss.
46;Byrsonima ligustrifolia;Byrsonima ligustrifolia;iPlant_TNRS;1;Byrsonima ligustrifolia;A. Juss.
47;Byrsonima sericea;Byrsonima sericea;iPlant_TNRS;1;Byrsonima sericea;DC.
48;Calophyllum brasiliense;Calophyllum brasiliense;iPlant_TNRS;1;Calophyllum brasiliense;Cambess.
49;Calyptranthes concinna;Calyptranthes concinna;iPlant_TNRS;1;Calyptranthes concinna;DC.
50;Campomanesia guaviroba;Campomanesia guaviroba;iPlant_TNRS;1;Campomanesia guaviroba;(DC.) Kiaersk.
51;Carica papaya;Carica papaya;iPlant_TNRS;1;Carica papaya;L.
52;Cecropia glaziovii;Cecropia glaziovii;iPlant_TNRS;1;Cecropia glaziovii;Snethl.
53;Cecropia hololeuca;Cecropia hololeuca;iPlant_TNRS;1;Cecropia hololeuca;Miq.
54;Celtis iguanaea;Celtis iguanaea;iPlant_TNRS;1;Celtis iguanaea;(Jacq.) Sarg.
55;Cereus hildmannianus;Cereus hildmannianus;iPlant_TNRS;1;Cereus hildmannianus;K. Schum.
56;Cestrum mariquitense;Cestrum mariquitense;iPlant_TNRS;1;Cestrum mariquitense;Kunth
57;Chamissoa altissima;Chamissoa altissima;iPlant_TNRS;1;Chamissoa altissima;(Jacq.) Kunth
58;Chomelia parvifolia;Chomelia parvifolia;iPlant_TNRS;1;Chomelia parvifolia;(Standl.) Govaerts
59;Chrysophyllum flexuosum;Chrysophyllum flexuosum;iPlant_TNRS;1;Chrysophyllum flexuosum;Mart.
60;Cissus paulliniifolia;Cissus paullinifolia;iPlant_TNRS;0.99;Cissus paullinifolia;Vell.
61;Cissus selloana;Cissus tinctoria;iPlant_TNRS;1;Cissus selloana;Mart.
62;Cissus verticillata;Cissus verticillata;iPlant_TNRS;1;Cissus verticillata;(L.) Nicolson & C.E. Jarvis
63;Citrus reticulata;Citrus reticulata;iPlant_TNRS;1;Citrus reticulata;Blanco
64;Citrus x aurantium;Citrus aurantium;iPlant_TNRS;0.9;Citrus aurantium;L.
65;Clusia criuva;Clusia criuva;iPlant_TNRS;1;Clusia criuva;Cambess.
66;Copaifera langsdorffii;Copaifera langsdorffii;iPlant_TNRS;1;Copaifera langsdorffii;Desf.
67;Cordia curassicava;Varronia curassavica;iPlant_TNRS;0.97;Cordia curassavica;Jacq.
68;Cordia ecalyculata;Cordia ecalyculata;iPlant_TNRS;1;Cordia ecalyculata;Vell.
69;Cordia sellowiana;Cordia sellowiana;iPlant_TNRS;1;Cordia sellowiana;Cham.
70;Cordiera myrciifolia;Cordiera myrciifolia;iPlant_TNRS;1;Cordiera myrciifolia;(K. Schum.) C.H. Perss. & Delprete
71;Coussapoa microcarpa;Coussapoa microcarpa;iPlant_TNRS;1;Coussapoa microcarpa;(Schott) Rizzini
72;Cryptocarya mandioccana;Cryptocarya mandioccana;iPlant_TNRS;1;Cryptocarya mandioccana;Meisn.
73;Cryptocarya moschata;Cryptocarya moschata;iPlant_TNRS;1;Cryptocarya moschata;Nees & Mart.
74;Cupania emarginata;Cupania emarginata;iPlant_TNRS;1;Cupania emarginata;Cambess.
75;Cupania vernalis;Cupania vernalis;iPlant_TNRS;1;Cupania vernalis;Cambess.
